Ano,indicador_id,nombre_indicador,nivel,IdServicio,servicio_salud,comuna,n_egresos,denominador_fonasa_15_mas,tasa_x10000
2024,22,Tasa de egresos hospitalarios por amputación extremidad inferior en diabetes,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13203,5,9994,5.003
2024,18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,comuna,09,Servicio de Salud Metropolitano Norte,13301,115,96044,11.9737
2024,19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,comuna,09,Servicio de Salud Metropolitano Norte,13301,103,96044,10.7243
2024,20,Tasa de egresos hospitalarios por insuficiencia cardíaca,comuna,09,Servicio de Salud Metropolitano Norte,13301,64,96044,6.6636
2024,21,Tasa de egresos hospitalarios por diabetes mellitus,comuna,09,Servicio de Salud Metropolitano Norte,13301,65,96044,6.7677
2024,22,Tasa de egresos hospitalarios por amputación extremidad inferior en diabetes,comuna,09,Servicio de Salud Metropolitano Norte,13301,49,96044,5.1018
2024,18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,comuna,09,Servicio de Salud Metropolitano Norte,13302,95,68956,13.7769
2024,19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,comuna,09,Servicio de Salud Metropolitano Norte,13302,80,68956,11.6016
2024,20,Tasa de egresos hospitalarios por insuficiencia cardíaca,comuna,09,Servicio de Salud Metropolitano Norte,13302,57,68956,8.2661
2024,21,Tasa de egresos hospitalarios por diabetes mellitus,comuna,09,Servicio de Salud Metropolitano Norte,13302,52,68956,7.541
2024,22,Tasa de egresos hospitalarios por amputación extremidad inferior en diabetes,comuna,09,Servicio de Salud Metropolitano Norte,13302,56,68956,8.1211
2024,18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,comuna,09,Servicio de Salud Metropolitano Norte,13303,33,14335,23.0206
2024,19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,comuna,09,Servicio de Salud Metropolitano Norte,13303,35,14335,24.4158
