rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL27,AD,30,RANGO ETARIO Y SEXO - 70 a 74 años - Mujeres,RANGO ETARIO Y SEXO,70 a 74 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '70 a 74 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL28,AE,31,RANGO ETARIO Y SEXO - 75 a 79 años - Hombres,RANGO ETARIO Y SEXO,75 a 79 años,Hombres,,,"['RANGO ETARIO Y SEXO', '75 a 79 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL29,AF,32,RANGO ETARIO Y SEXO - 75 a 79 años - Mujeres,RANGO ETARIO Y SEXO,75 a 79 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '75 a 79 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL30,AG,33,RANGO ETARIO Y SEXO - 80 y más años - Hombres,RANGO ETARIO Y SEXO,80 y más años,Hombres,,,"['RANGO ETARIO Y SEXO', '80 y más años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL31,AH,34,RANGO ETARIO Y SEXO - 80 y más años - Mujeres,RANGO ETARIO Y SEXO,80 y más años,Mujeres,,,"['RANGO ETARIO Y SEXO', '80 y más años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL32,AI,35,Pueblos Originarios - Hombres,Pueblos Originarios,Hombres,,,,"['Pueblos Originarios', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL33,AJ,36,Pueblos Originarios - Mujeres,Pueblos Originarios,Mujeres,,,,"['Pueblos Originarios', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL34,AK,37,Migrantes - Hombres,Migrantes,Hombres,,,,"['Migrantes', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL35,AL,38,Migrantes - Mujeres,Migrantes,Mujeres,,,,"['Migrantes', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150703,Clasificación del Riesgo Cardiovascular - Moderado,COL01,D,4,TOTAL - Ambos sexos,TOTAL,Ambos sexos,,,,"['TOTAL', 'Ambos sexos']",14
